Project,Project_Capacity_MW,Type,Storage_Capacity_MWh,Developer,Owner,Generator_Make,Generator_Model,Number_of_Generators,Generator_Capacity,Generator_Type,Country,County,UK_Region,Location,Sea_area,Lpa,Lpa_reference,Latitude_Decimal,Longitude_Decimal,UKNatGridRef,Hub_Height,Tip_Height,Rotor_Diameter,Summary_Status,Status,ConsentedYESNO,Status_Date,ConsentLapseDate,ConsentExpireTerm,ConsentExpireDate,ConsentExtension,SupersedeMethod,SupersedeByProject,SupersededMethod,SupersededProject,Colocated_Grid,Colocated_Grid_Detail,History,Submitted_Date,Submitted_Note,Decision_Date,Decision_Note,Appeal_Decision_Date,Appeal_Decision_Note,Construction_Date,Construction_Note,Commissioned_Date,Commissioned_Note,ResubmittedByProject,ResubmissionOfProject,LatestNewsDate,LatestNewsText,LatestNewsSource
Woodhouse Farm (East Yorkshire) (Resubmission),0.5,onshore,,George F White Property Agency,Landowner (private or company) (100%),EWT,EWT DW 54,1,0.5,Horizontal axis turbine,England,East Riding of Yorkshire,Yorkshire & Humber,"East End Road, Preston, HU12 8SL",,East Riding of Yorkshire Council,14/03190/PLF,53.7689,-0.183779,TA 19806 31811,50,77,54,Operational,Fully Commissioned,Consented,21-Jul-16,,1 years after abandonment,,,,,,,,,"21/07/2016 Fully Commissioned ;
01/03/2016 Under construction [estimate] ;
25/08/2015 Approved ;
03/10/2014 Submitted (LPA)",03-Oct-14,(LPA) ,25-Aug-15,Approved (LPA) ,,,01-Mar-16,Under construction [Estimate],21-Jul-16,,,Woodhouse Farm (East Yorkshire),,,
Woodhouse Farm (North Yorkshire),0.16,onshore,,Landowner (private or company),Landowner (private or company) (100%),WES,WES 80,2,0.08,Horizontal axis turbine,England,North Yorkshire,Yorkshire & Humber,"Main Street, Lixton, Scarborough",,Scarborough Borough Council,11/01684/FL,54.2056,-0.422222,TA 03009 80022,,39,,Operational,Fully Commissioned,Consented,28-Nov-12,,,,,,,,,,,"28/11/2012 Fully Commissioned ;
16/06/2012 Under construction ;
15/02/2012 Approved ;
14/09/2011 Submitted (LPA)",14-Sep-11,(LPA) ,15-Feb-12,Approved (LPA) ,,,16-Jun-12,Under construction ,28-Nov-12,,,,,,
Woodhouse Farm (VA Turbine),0.1,onshore,,4Navitas (Green Energy Solutions) Ltd,4Navitas (Green Energy Solutions) Ltd (100%),4Navitas,4N-55 VAWT,1,0.1,Vertical axis turbine,England,West Yorkshire,Yorkshire & Humber,"York Road, Scholes, Leeds",,Leeds City Council,14/07082/FU,53.8389,-1.41417,SE 38648 38231,,37,,Refused,Refused,Refused,05-Aug-15,,,,,,,,,,,"05/08/2015 Refused ;
05/02/2015 Submitted (LPA)",05-Feb-15,(LPA) ,05-Aug-15,Refused (LPA) ,,,,,,,,,,,
Woodlands Barton,5,onshore,,Landowner (private or company),Landowner (private or company) (100%),Enercon,Enercon E70,2,2.5,Horizontal axis turbine,England,Cornwall,South West,"Wireless Road, Tremorddrett, Roche",,Cornwall Council,PA12/10296,50.4247,-4.81417,SX 00204 62102,,99.5,71,Operational,Fully Commissioned,Consented,01-Sep-14,,25 years after first generation,,,,,,,,,"01/09/2014 Fully Commissioned ;
07/08/2014 Partial Operation ;
15/05/2014 Under construction ;
11/02/2013 Approved ;
14/11/2012 Submitted (LPA)",14-Nov-12,(LPA) ,11-Feb-13,Approved (LPA) ,,,15-May-14,Under construction ,01-Sep-14,,,,,,
Woodlands Farm (Aberdeenshire),2.3,onshore,,Landowner (private or company),Landowner (private or company) (100%),,,1,2.3,,Scotland,Aberdeenshire,Scotland,"Nr Udny. Mains of Cairnbrogie, Oldmeldrum, Inverurie",,Aberdeenshire Council,NJ853294,57.3547,-2.24583,NJ 85307 29383,,92,,Refused,Refused on appeal,Refused,25-Jun-10,,,,,,,,,,,"25/06/2010 Refused on appeal ;
23/03/2010 On appeal ;
02/10/2009 Refused ;
26/11/2008 Submitted (LPA)",26-Nov-08,(LPA) ,02-Oct-09,Refused (LPA) ,25-Jun-10,Refused on appeal ,,,,,,,,,
Woodlands Farm Turbine 1 (Aberdeenshire),0.5,onshore,,Landowner (private or company),Landowner (private or company) (100%),Enercon,Enercon E48,1,0.5,Horizontal axis turbine,Scotland,Aberdeenshire,Scotland,"Udny, Ellon, AB41 6SP",,Aberdeenshire Council,APP/2010/3166,57.31,-2.20111,NJ 87983 24398,55,79,48,Operational,Fully Commissioned,Consented,01-Jan-15,,,,,,,,,,,"01/01/2015 Fully Commissioned ;
29/09/2014 Under construction ;
14/06/2012 Approved ;
21/09/2010 Submitted (LPA)",21-Sep-10,(LPA) ,14-Jun-12,Approved (LPA) ,,,29-Sep-14,Under construction ,01-Jan-15,,,,,,
Woodlands Farm Turbine 1 (South Lanarkshire),0.5,onshore,,Whiterock Energy UK Ltd,Wind Energy Renewables LLP (100%),EWT,EWT DW 54,1,0.5,Horizontal axis turbine,Scotland,South Lanarkshire,Scotland,Lesmahagow,,South Lanarkshire Council,CL/12/0139,55.6306,-3.92111,NS 79147 39122,42,69,54,Operational,Fully Commissioned,Consented,30-Apr-16,,25 years after fully commissioned,30-Apr-41,,,,,,,,"30/04/2016 Fully Commissioned ;
30/03/2016 Partial Operation ;
01/03/2016 Under construction ;
22/07/2013 Approved ;
04/04/2012 Submitted (LPA)",04-Apr-12,(LPA) ,22-Jul-13,Approved (LPA) ,,,01-Mar-16,Under construction ,30-Apr-16,,,,30-Jan-15,An application to vary the consented turbine model to an EWT DW 54 has been approved.,CL/12/0139 (Planning reference)
Woodlands Farm Turbine 2 (Aberdeenshire) (Resubmission),0.5,onshore,,Farm Energy Consulting,Landowner (private or company) (100%),EWT,EWT DW 54,1,0.5,Horizontal axis turbine,Scotland,Aberdeenshire,Scotland,"Udny, Ellon, AB41 6SP",,Aberdeenshire Council,APP/2015/2459,57.3103,-2.20575,NJ 87704 24433,50,77,54,Consented,Approved,Consented,03-Nov-16,03-Nov-19,0.5 years after abandonment,,,,,,,,,"03/11/2016 Approved ;
31/07/2015 Submitted (LPA)",31-Jul-15,(LPA) ,03-Nov-16,Approved (LPA) ,,,,,,,,Woodlands Farm Turbine 2 (Aberdeenshire),,,
Woodlands Farm Turbine 2 (South Lanarkshire),0.9,onshore,,Whiterock Energy UK Ltd,Wind Energy Renewables LLP (100%),EWT,EWT DW 54,1,0.9,Horizontal axis turbine,Scotland,South Lanarkshire,Scotland,Lesmahagow,,South Lanarkshire Council,CL/13/0374,55.6331,-3.91028,NS 79837 39382,42,69,54,Operational,Fully Commissioned,Consented,30-Apr-16,,25 years after fully commissioned,30-Apr-41,,,,,,,,"30/04/2016 Fully Commissioned ;
30/03/2016 Partial Operation ;
01/01/2016 Under construction [estimate] ;
07/03/2014 Approved on appeal ;
17/12/2013 On appeal ;
19/11/2013 Refused ;
02/10/2013 Submitted (LPA)",02-Oct-13,(LPA) ,19-Nov-13,Refused (LPA) ,07-Mar-14,Approved on appeal ,01-Jan-16,Under construction [Estimate],30-Apr-16,,,,,,
Woodleasowes Farm,0.1,onshore,,Wind FX Ltd,Wind FX Ltd (100%),ESPE,FX EVO 21-100,1,0.1,Horizontal axis turbine,England,Shropshire,West Midlands,"Blackmore, Westbury, Shrewsbury, SY5 9SA",,Shropshire Council,15/02523/FUL,52.6714,-3.038,SJ 29908 08692,18.04,28.5,20.63,Consented,Approved,Consented,04-Sep-15,03-Sep-18,,,,,,,,,,"04/09/2015 Approved ;
09/07/2015 Submitted (LPA)",09-Jul-15,(LPA) ,04-Sep-15,Approved (LPA) ,,,,,,,,,,,
Woodmancott Down,18,onshore,,TCI Renewables Ltd,TCI Renewables Ltd (100%),,,6,3,,England,Hampshire,South East,"Popham, Micheldever",,Basingstoke and Deane Borough Council,13/00844/FUL,51.1847,-1.18083,SU 57350 43149,80,131,100,Refused,Refused,Refused,26-Jun-14,,,,,,,,,,,"26/06/2014 Refused ;
14/06/2013 Submitted (LPA)",14-Jun-13,(LPA) ,26-Jun-14,Refused (LPA) ,,,,,,,,,,,
Woodside Farm (Yorkshire),0.225,onshore,,Landowner (private or company),Landowner (private or company) (100%),,,1,0.225,,England,West Yorkshire,Yorkshire & Humber,"Denby Dale Road, Bretton, Wakefield",,Wakefield Council,13/01639/FUL,53.625,-1.57472,SE 28225 14358,24.8,36.6,,Refused,Refused,Refused,17-Mar-16,,,,,,,,,,,"17/03/2016 Refused ;
04/06/2013 Submitted (LPA)",04-Jun-13,(LPA) ,17-Mar-16,Refused (LPA) ,,,,,,,,,,,
Woodside of Pitglassie (Resubmission),0.5,onshore,,Landowner (private or company),Landowner (private or company) (100%),,,1,0.5,,Scotland,Aberdeenshire,Scotland,Turriff,,Aberdeenshire Council,APP/2013/3159,57.4794,-2.50722,NJ 69683 43353,50,77,,Refused,Refused,Refused,30-Dec-13,,,,,,,,,,,"30/12/2013 Refused ;
27/09/2013 Submitted (LPA)",27-Sep-13,(LPA) ,30-Dec-13,Refused (LPA) ,,,,,,,,Woodside of Pitglassie,,,
"Woodside Road, 14 (Resubmission)",0.225,onshore,,Clyde Shanks Ltd,Landowner (private or company) (100%),Norwin,Norwin 33,1,0.225,,Northern Ireland,Co. Londonderry,Northern Ireland,"330m south west of 14 Woodside Road, Newbuildings",,Derry City & Strabane District Council,LA11/2015/0217/F,54.9744,-7.32928,NV 59133 77426,40.16,56.656,33,Consented,Approved,Consented,05-Apr-16,04-Apr-21,25 years after first generation,,,,,,,,,"05/04/2016 Approved ;
02/06/2015 Submitted (LPA)",02-Jun-15,(LPA) ,05-Apr-16,Approved (LPA) ,,,,,,,,"Woodside Road, 14",,,
"Woodside Road, 79",0.25,onshore,,Landowner (private or company),Landowner (private or company) (100%),Vestas,Vestas V39,1,0.25,Horizontal axis turbine,Northern Ireland,Co. Antrim,Northern Ireland,"360m North East of 79 Woodside Road, Ballymena",,Mid and East Antrim Borough Council,G/2013/0036/F,54.8697,-6.22063,NW 29310 60930,40,55.5,39,Operational,Fully Commissioned,Consented,14-Mar-17,,1 years after abandonment,,,Replaced,"Woodside Road, 79 (Replacement) [Approved, 2-Jul-2019, 0.25MW]",,,,,"14/03/2017 Fully Commissioned ;
01/11/2016 Under construction [estimate] ;
16/05/2013 Approved ;
07/02/2013 Submitted (LPA)",07-Feb-13,(LPA) ,16-May-13,Approved (LPA) ,,,01-Nov-16,Under construction [Estimate],14-Mar-17,,,,,,
"Woodside Road, 79 (Replacement)",0.25,onshore,,Clyde Shanks Ltd,Landowner (private or company) (100%),Vestas,Vestas V44,1,0.25,Horizontal axis turbine,Northern Ireland,Co. Antrim,Northern Ireland,"360m NE of 79 Woodside Road, Ballymena",,Mid and East Antrim Borough Council,LA02/2019/0182/F,54.8697,-6.22064,NW 29310 60930,40,62,44,Consented,Approved,Consented,02-Jul-19,01-Jul-24,1 years after abandonment,,,,,Replaced,"Woodside Road, 79 [Fully Commissioned, 14-Mar-2017, 0.25MW]",,,"02/07/2019 Approved ;
08/03/2019 Submitted (LPA)",08-Mar-19,(LPA) ,02-Jul-19,Approved (LPA) ,,,,,,,,,02-Jul-19,Mid and East Antrim Borough Council has granted planning permission for a Vestas V44 turbine to be installed as a replacement for an existing V39 at 79 Woodside Road.,RenewableUK comment
"Woodside Road, 90",0.25,onshore,,Clyde Shanks Ltd,Landowner (private or company) (100%),Bonus,Bonus B33/300,1,0.25,Horizontal axis turbine,Northern Ireland,Co. Antrim,Northern Ireland,"175 metres North West of 90 Woodside Road, Ballymena, BT42 4QH",,Mid and East Antrim Borough Council,G/2011/0434/F,54.8668,-6.21935,NW 29374 60612,40,56.7,33.4,Operational,Fully Commissioned,Consented,14-Mar-17,,25 years after fully commissioned,14-Mar-42,,,,,,,,"14/03/2017 Fully Commissioned ;
01/12/2016 Under construction [estimate] ;
16/01/2013 Approved ;
29/09/2011 Submitted (LPA)",29-Sep-11,(LPA) ,16-Jan-13,Approved (LPA) ,,,01-Dec-16,Under construction [Estimate],14-Mar-17,,,,08-Oct-19,A retrospective planning application has been approved for a single turbine at 90 Woodside Road.,LA02/2019/0614/F (Planning reference)
Woodson,0.8,onshore,,RESense Ltd,RESense Ltd (100%),Enercon,Enercon E48,1,0.8,Horizontal axis turbine,Wales,Pembrokeshire,Mid Wales,"Lower Thornton, Milford Haven",,Pembrokeshire County Council,14/0410/PA,51.7417,-5.0375,SM 90389 09145,,74,,Refused,Refused on appeal,Refused,13-Jul-15,,,,,,,,,,,"13/07/2015 Refused on appeal ;
30/01/2015 On appeal ;
15/01/2015 Refused ;
26/08/2014 Submitted (LPA)",26-Aug-14,(LPA) ,15-Jan-15,Refused (LPA) ,13-Jul-15,Refused on appeal ,,,,,,,,,
Woodterrill Farm,0.5,onshore,,Landowner (private or company),Landowner (private or company) (100%),,,2,0.25,,England,Devon,South West,"Hollocombe, Chulmleigh",,Torridge District Council,1/0653/2013/FUL,50.88,-3.95806,SS 62347 10772,30,45,,Consented,Approved,Consented,05-Sep-14,05-Sep-17,,,,,,,,,,"05/09/2014 Approved ;
24/07/2013 Submitted (LPA)",24-Jul-13,(LPA) ,05-Sep-14,Approved (LPA) ,,,,,,,,,,,
Wooley Lane Farm,0.5,onshore,,Landowner (private or company),Landowner (private or company) (100%),,,1,0.5,,England,Lancashire,North West,"Wooley Lane, Baxenden, Accrington",,Hyndburn Borough Council,11/13/0458,53.7367,-2.33611,SD 77926 26754,,77,,Refused,Refused,Refused,07-Feb-14,,,,,,,,,,,"07/02/2014 Refused ;
29/11/2013 Submitted (LPA)",29-Nov-13,(LPA) ,07-Feb-14,Refused (LPA) ,,,,,,,,,,,
Woolfox,27,onshore,,Renewable Energy Systems Ltd (RES),Renewable Energy Systems Ltd (RES) (100%),,,9,3,,England,Rutland,East Midlands,"Woolfox Airfield, Lodge Road, Empingham",,Rutland DC,2014/1003/MAJ,52.7111,-0.576111,SK 96292 13555,,130,,Refused,Refused,Refused,10-Dec-15,,,,,,,,,,,"10/12/2015 Refused ;
09/02/2015 Submitted (LPA)",09-Feb-15,(LPA) ,10-Dec-15,Refused (LPA) ,,,,,,,,,21-Jun-16,RES has announced that it will not be appealing the decision to refuse planning permission.,http://www.woolfox-windfarm.co.uk/news/latest-news/june-2016-res-decides-not-to-appeal-woolfox-wind-farm-refusal/
Woolley Hill,10,onshore,,Renewable Energy Systems Ltd (RES),Aviva Investors (100%),Nordex,Nordex N100,4,2.5,Horizontal axis turbine,England,Cambridgeshire,East of England,"Land East Of Whitleather Lodge, Woolley Hill, Ellington",,Huntingdonshire District Council,1001741FUL,52.3428,-0.298611,TL 16003 72998,80,131,100,Operational,Fully Commissioned,Consented,09-Mar-15,,25 years after first generation,13-Jan-40,,,,,,,,"09/03/2015 Fully Commissioned ;
13/01/2015 Partial Operation ;
15/03/2014 Under construction ;
23/03/2012 Approved on appeal ;
12/08/2011 On appeal ;
19/07/2011 Refused ;
28/10/2010 Submitted (LPA)",28-Oct-10,(LPA) ,19-Jul-11,Refused (LPA) ,23-Mar-12,Approved on appeal ,15-Mar-14,Under construction ,09-Mar-15,,,,17-Nov-16,"The investments arm of Aviva has acquired four English wind farms totalling 60.5MW from RES. Aviva Investors has taken 100% ownership of the operational 18MW Den Brook in Devon, 15MW Jack’s Lane in Norfolk, 10MW Woolley Hill in Cambridgeshire and the under construction 17.5MW Turncole project in Essex.",http://renews.biz/104947/aviva-grabs-60mw-res-wind/
Work Farm,1.8,onshore,,Landowner (private or company),Landowner (private or company) (100%),,,2,0.9,,Scotland,Orkney,Scotland,"Work Road, St Ola",,Orkney Islands Council,12/699/TPP,58.9997,-2.91261,HY 47667 12871,45,67,44,Under construction,Under construction,Consented,15-Jan-16,,Not specified,,,,,,,,,"15/01/2016 Under construction ;
31/01/2013 Approved ;
10/10/2012 Submitted (LPA)",10-Oct-12,(LPA) ,31-Jan-13,Approved (LPA) ,,,15-Jan-16,Under construction ,,,,,,,
Wormslade Farm,0.5,onshore,,Landowner (private or company),Landowner (private or company) (100%),PowerWind,PowerWind 500,1,0.5,Horizontal axis turbine,England,Northamptonshire,East Midlands,Kelmarsh,,Daventry District Council,DA/2012/0727,52.4294,-0.93,SP 72849 81807,50,78,56,Refused,Refused on appeal,Refused,10-Jan-14,,,,,,,,,,,"10/01/2014 Refused on appeal ;
17/06/2013 On appeal ;
09/01/2013 Refused ;
21/09/2012 Submitted (LPA)",21-Sep-12,(LPA) ,09-Jan-13,Refused (LPA) ,10-Jan-14,Refused on appeal ,,,,,,,,,
Wortham Farm,0.5,onshore,,Otter Power,Otter Power (100%),EWT,EWT DW 54,1,0.5,Horizontal axis turbine,England,Devon,South West,"Liftondown, Lifton",,West Devon Borough Council,00300/2013,50.6619,-4.28333,SX 38718 87180,50,77,54,Operational,Fully Commissioned,Consented,26-Mar-14,,25 years after first generation,13-Mar-39,,,,,,,,"26/03/2014 Fully Commissioned ;
13/03/2014 Partial Operation ;
01/03/2014 Under construction ;
10/01/2014 Approved on appeal [non-determination] ;
24/06/2013 On appeal [non-determination] ;
18/03/2013 Submitted (LPA)",18-Mar-13,(LPA) ,,Not determined ,10-Jan-14,Approved on appeal [Non determination],01-Mar-14,Under construction ,26-Mar-14,,,,24-Jun-13,An appeal has been lodged on grounds of non determinsation. PINS reference:  2199327,RenewableUK comment
Wrae Farm,0.5,onshore,,Muirden Energy,Muirden Energy (100%),Enercon,Enercon E48,1,0.5,Horizontal axis turbine,Scotland,Aberdeenshire,Scotland,Turriff,,Aberdeenshire Council,APP/2011/4226,57.6178,-2.76111,NJ 54631 58902,56,80,48,Operational,Fully Commissioned,Consented,15-Jan-15,,0.5 years after abandonment,,,,,,,,,"15/01/2015 Fully Commissioned ;
22/08/2014 Under construction [estimate] ;
05/09/2013 Approved on appeal ;
10/07/2013 On appeal ;
17/05/2013 Refused ;
19/12/2011 Submitted (LPA)",19-Dec-11,(LPA) ,17-May-13,Refused (LPA) ,05-Sep-13,Approved on appeal ,22-Aug-14,Under construction [Estimate],15-Jan-15,,,,,,
Wreys Barton,0.5,onshore,,Murex Energy Ltd,Murex Energy Ltd (100%),,,1,0.5,,England,Devon,South West,"Stowford, Lewdown, Okehampton",,West Devon Borough Council,00368/2015,50.6672,-4.21139,SX 43820 87615,,77,,Refused,Refused,Refused,22-Jul-15,,,,,,,,,,,"22/07/2015 Refused ;
18/03/2015 Submitted (LPA)",18-Mar-15,(LPA) ,22-Jul-15,Refused (LPA) ,,,,,,,,,,,
Wrights Covert,0.5,onshore,,Freshview,Freshview (100%),,,1,0.5,,England,Lancashire,North West,"Toogood Lane, Wrightington",,West Lancashire Borough Council,2013/0300/FUL,53.6094,-2.72389,SD 52203 12782,,90,,Refused,Refused,Refused,29-Jul-13,,,,,,,,,,,"29/07/2013 Refused ;
21/03/2013 Submitted (LPA)",21-Mar-13,(LPA) ,29-Jul-13,Refused (LPA) ,,,,,,,,,,,
Wryde Croft,14,onshore,,Renewable Energy Systems Ltd (RES),Renewable Energy Systems Ltd (RES) (100%),,,7,2,,England,Cambridgeshire,East of England,"Thorney, Peterborough",,Peterborough City Council,,52.6367,-0.056667,TF 31604 06100,60,100,80,Withdrawn,Withdrawn after approval,Consented,08-Oct-07,,,,,,,,,,,"08/10/2007 Withdrawn after approval ;
01/11/2004 Approved ;
01/12/2003 Submitted (LPA)",01-Dec-03,(LPA) ,01-Nov-04,Approved (LPA) ,,,,,,,Wryde Croft (Resubmission),,,,
Wryde Croft (Resubmission),23.4,onshore,,Renewable Energy Systems Ltd (RES),Octopus Investments Ltd (100%),Vestas,Vestas V80,13,1.8,Horizontal axis turbine,England,Cambridgeshire,East of England,"between Crowland and Parson Drove, Peterborough",,Peterborough City Council,07/01411/FUL,52.6367,-0.056667,TF 31604 06100,60,100,80,Operational,Fully Commissioned,Consented,01-Mar-16,,25 years after first generation,19-Jan-41,,,,,,,,"01/03/2016 Fully Commissioned [estimate] ;
19/01/2016 Partial Operation ;
04/01/2015 Under construction ;
01/04/2010 Approved on appeal ;
26/11/2008 On appeal ;
27/10/2008 Refused ;
08/10/2007 Submitted (LPA)",08-Oct-07,(LPA) ,27-Oct-08,Refused (LPA) ,01-Apr-10,Approved on appeal ,04-Jan-15,Under construction ,01-Mar-16,[Estimate],,Wryde Croft,,,
WWA High Sharpley,2.6,onshore,,REG Windpower Ltd,BlackRock (100%),Nordex,Nordex N60,2,1.3,Horizontal axis turbine,England,County Durham,North East,"South Sharpley Farm, Seaham",,Easington DC,2002/2006,54.8313,-1.41588,NZ 37621 48655,60,91,62,Operational,Fully Commissioned,Consented,01-Mar-07,,,,,,,,,,,"01/03/2007 Fully Commissioned ;
01/07/2006 Under construction ;
13/06/2002 Approved ;
28/03/2002 Submitted (LPA)",28-Mar-02,(LPA) ,13-Jun-02,Approved (LPA) ,,,01-Jul-06,Under construction ,01-Mar-07,,,,,,
WWF Roskrow Barton,1.7,onshore,,Landowner (private or company),BlackRock (100%),Vestas,Vestas V52,2,0.85,Horizontal axis turbine,England,Cornwall,South West,"Penryn, TR10 9AP",,Kerrier DC,PA02/01417/F,50.175,-5.13981,SW 75906 35268,44,70,52,Operational,Fully Commissioned,Consented,01-Feb-08,,0.5 years after abandonment,,,,,,,,,"01/02/2008 Fully Commissioned ;
01/01/2008 Partial Operation ;
01/08/2007 Under construction ;
25/02/2004 Approved on appeal ;
21/10/2003 On appeal ;
15/04/2003 Refused ;
04/12/2002 Submitted (LPA)",04-Dec-02,(LPA) ,15-Apr-03,Refused (LPA) ,25-Feb-04,Approved on appeal ,01-Aug-07,Under construction ,01-Feb-08,,,,21-Dec-15,Blackrock has acquired the project from REG.,RenewableUK comment
WWL Glyn Ceiriog,3.4,onshore,,Innogy Renewables UK Ltd,N/A (100%),,,3,1.3,,Wales,Denbighshire,North Wales,"Glyn Ceiriog, nr Wrexham",,Wrexham County BC,,,,,66,96,60,Refused,Refused,Refused,01-Sep-02,,,,,,,,,,,"01/09/2002 Refused ;
01/07/2002 Submitted (LPA)",01-Jul-02,(LPA) ,01-Sep-02,Refused (LPA) ,,,,,,,,,,,
WWM Pentre Tump,3.9,onshore,,REG Windpower Ltd,REG Windpower Ltd (100%),,,3,1.3,,Wales,Powys,Mid Wales,Radnor,,Powys County Council,RAD/2002/0397,52.2097,-3.17944,SO 19506 57487,,95,,Withdrawn,Withdrawn from appeal,Consented,04-Nov-10,,,,,,,,,,,"04/11/2010 Withdrawn from appeal ;
13/05/2010 On appeal ;
02/02/2010 Refused ;
11/09/2002 Submitted (LPA)",11-Sep-02,(LPA) ,02-Feb-10,Refused (LPA) ,04-Nov-10,Withdrawn from appeal ,,,,,,,,,
WWN Baydon Meadow,1.3,onshore,,Innogy Renewables UK Ltd,Innogy Renewables UK Ltd (100%),,,1,1.3,,England,Berkshire,South East,"Lambourn, Hungerford",,West Berkshire Council,,51.4911,-1.57639,SU 29507 76991,50,81,62,Refused,Refused,Refused,01-Nov-03,,,,,,,,,,,"01/11/2003 Refused ;
01/11/2002 Submitted (LPA)",01-Nov-02,(LPA) ,01-Nov-03,Refused (LPA) ,,,,,,,,,,,
WWP Hameldon Hill,4.5,onshore,,Innogy Renewables UK Ltd,Innogy Renewables UK Ltd (100%),Senvion,REpower MD70,3,1.5,Horizontal axis turbine,England,Lancashire,North West,"New Barn Farm, Burnley",,Burnley Borough Council,APP/2002/0516,53.7886,-2.16083,SD 89502 32488,65,90,70,Operational,Fully Commissioned,Consented,01-Feb-07,,,,,,,,,,,"01/02/2007 Fully Commissioned ;
01/01/2006 Under construction ;
23/02/2004 Approved on appeal ;
09/05/2003 On appeal ;
18/03/2003 Refused ;
01/07/2002 Submitted (LPA)",01-Jul-02,(LPA) ,18-Mar-03,Refused (LPA) ,23-Feb-04,Approved on appeal ,01-Jan-06,Under construction ,01-Feb-07,,,,,,
WWQ Wandysteads,3.9,onshore,,Innogy Renewables UK Ltd,N/A (100%),,,3,1.3,,England,Northumberland,North East,Edingham,,Alnwick District Council,,55.3525,-1.85167,NU 09504 06508,60,95,70,Refused,Refused on appeal,Refused,01-Aug-03,,,,,,,,,,,"01/08/2003 Refused on appeal ;
01/04/2003 On appeal ;
01/08/2002 Refused ;
01/01/2002 Submitted (LPA)",01-Jan-02,(LPA) ,01-Aug-02,Refused (LPA) ,01-Aug-03,Refused on appeal ,,,,,,,,,
WWR Penpell Farm,2.6,onshore,,REG Windpower Ltd,REG Windpower Ltd (100%),,,2,1.3,,England,Cornwall,South West,"Lanlivery Parish, 3km N. of St Blazey",,Restormel BC,03/01146,50.3811,-4.71583,SX 07011 56994,45,76,62,Refused,Refused on appeal,Refused,01-Jan-07,,,,,,,,,,,"01/01/2007 Refused on appeal ;
01/07/2006 On appeal ;
14/03/2005 Refused ;
03/06/2003 Submitted (LPA)",03-Jun-03,(LPA) ,14-Mar-05,Refused (LPA) ,01-Jan-07,Refused on appeal ,,,,,,,,,
